Kat.č. pův.,Název modelu,Stav,MOC s DPH,MOC bez DPH,KATEGORIE A,KATEGORIE B
070-50536,"ML - dobíjecí magnet pro sedlovou objímku ML 06052511, 06052514",Skladem,108 Kč,89 Kč,77 Kč,71 Kč
070-50541,ML -Světlomet Lumotec IQ-X ML 150 Lux pro Ebike,Na objednávku,"5,400 Kč","4,463 Kč","3,881 Kč","3,570 Kč"
070-50542,ML -Světlomet Lumotec IQ- XS E ML 70 Lux pro Ebike,Na objednávku,"4,050 Kč","3,347 Kč","2,911 Kč","2,678 Kč"
070-50543,ML -Zadní světlo RearLight pro Ebike,Skladem,891 Kč,736 Kč,640 Kč,589 Kč
070-50544,ML - Set světel dobíjecí Phenon 30 LUX,Na objednávku,"2,159 Kč","1,784 Kč","1,551 Kč","1,427 Kč"
070-50548,ML - Dobíjecí zdroj  pro smartphone (USB),Skladem,"1,080 Kč",893 Kč,776 Kč,714 Kč
070-50552,ML - Sada světel SkyeLight 110 LUX Connect,Na objednávku,"5,129 Kč","4,239 Kč","3,686 Kč","3,391 Kč"
070-50555,ML - Supernova Mini 2 Pro ML Connect,Na objednávku,"5,913 Kč","4,887 Kč","4,249 Kč","3,909 Kč"
070-50556,ML - Charching Cable USB-C/Micro-USB 30 cm,Skladem,270 Kč,223 Kč,194 Kč,179 Kč
070-50557,ML - Charching Cable USB-C/USB-L 30 cm,Skladem,270 Kč,223 Kč,194 Kč,179 Kč
070-50558,ML - Charching Cable USB-C/Lightning 30 cm,Skladem,270 Kč,223 Kč,194 Kč,179 Kč
070-50559,ML - Interface Connect One4All Cable Front 1350mm,Skladem*,351 Kč,290 Kč,252 Kč,232 Kč
070-50560,ML - Interface Connect One4All Cable Rear 800mm,Na objednávku,351 Kč,290 Kč,252 Kč,232 Kč
070-50567,ML - Přední světlo SkyeLight 60 LUX  Connect,Skladem,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"
070-50568,ML - Přední světlo SkyeLight 80 LUX  Connect,Skladem,"2,430 Kč","2,008 Kč","1,746 Kč","1,607 Kč"
070-50569,ML - Přední světlo SkyeLight 110 LUX Connect,Skladem,"4,049 Kč","3,346 Kč","2,910 Kč","2,677 Kč"
070-50570,ML - SkyeLight REAR BL Connect,Skladem*,"1,350 Kč","1,116 Kč",970 Kč,893 Kč
070-50571,ML - SkyeLight REAR Connect,Na objednávku,"1,080 Kč",893 Kč,776 Kč,714 Kč
070-50585,ML 2.0 - eLIGHT 70 Connect | NOVINKA,Skladem*,"1,350 Kč","1,116 Kč",970 Kč,893 Kč
070-50586,ML 2.0  - eLIGHT 100 Connect | NOVINKA,Skladem*,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"
070-50587,ML 2.0 - eLIGHT 100 Connect s dálkovým světlem | NOVINKA,Skladem*,"2,699 Kč","2,230 Kč","1,939 Kč","1,784 Kč"
070-50594,ML 2.0 - Horní krytka pro držák MonkeyLink 2.0 Connect,Skladem,405 Kč,334 Kč,291 Kč,268 Kč
070-50707,ML - objímka s držákem na řídítka 35 mm,Skladem,269 Kč,222 Kč,193 Kč,178 Kč
080-40384,ML 2.0  - Bezdrátový nabíjecí modul Connect | NOVINKA,Skladem,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"
080-40385,ML 2.0 - Univerzální bezdrátový nabíjecí modul Connect | NOVINKA,Skladem*,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"
